NameSpace	Name	QualifiedName	NumberOfMethods	LinesOfCode	DepthOfInheritance	CyclomaticComplexity	ClassCoupling	AnonymousInnerClassLength	ClassFanOutComplexity	ClassDataAbstractionCoupling	Toxicity
System.Data.Entity.Utilities	TypeFinder	System.Data.Entity.Utilities.TypeFinder	2	42	1	17	13	0	0	0	2.197224577
System.Data.Entity.Core.Common.EntitySql	FunctionOverloadResolver	System.Data.Entity.Core.Common.EntitySql.FunctionOverloadResolver	5	104	1	58	27	0	0	0	2.079441542
System.Data.Entity.Core.Mapping.Update.Internal	TableChangeProcessor	System.Data.Entity.Core.Mapping.Update.Internal.TableChangeProcessor	10	91	1	36	38	0	0	0	2.079441542
System.Data.Entity.Core.Metadata.Edm	EdmType	System.Data.Entity.Core.Metadata.Edm.EdmType	28	73	3	41	22	0	0	0	2.079441542
System.Data.Entity.Infrastructure.DependencyResolution	AppConfigDependencyResolver	System.Data.Entity.Infrastructure.DependencyResolution.AppConfigDependencyResolver	8	75	1	40	38	0	0	0	2.079441542
System.Data.Entity.ModelConfiguration.Configuration	ManyToManyAssociationMappingConfiguration	System.Data.Entity.ModelConfiguration.Configuration.ManyToManyAssociationMappingConfiguration	15	93	2	50	38	0	0	0	2.079441542
System.Data.Entity.ModelConfiguration.Configuration	UpdateModificationStoredProcedureConfiguration<TEntityType>	System.Data.Entity.ModelConfiguration.Configuration.UpdateModificationStoredProcedureConfiguration<TEntityType>	28	130	2	28	16	0	0	0	2.079441542
System.Data.Entity.ModelConfiguration.Conventions	ForeignKeyNavigationPropertyAttributeConvention	System.Data.Entity.ModelConfiguration.Conventions.ForeignKeyNavigationPropertyAttributeConvention	3	42	1	19	29	0	0	0	2.079441542
System.Data.Entity.ModelConfiguration.Edm	EntityTypeExtensions	System.Data.Entity.ModelConfiguration.Edm.EntityTypeExtensions	20	112	1	48	38	0	0	0	2.079441542
System.Data.Entity.Core.Metadata.Edm	CacheForPrimitiveTypes	System.Data.Entity.Core.Metadata.Edm.CacheForPrimitiveTypes	5	70	1	31	18	0	0	0	1.945910149
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.ConstantTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.ConstantTranslator	2	38	3	21	30	0	0	0	1.945910149
System.Data.Entity.Core.Objects.Internal	PocoPropertyAccessorStrategy	System.Data.Entity.Core.Objects.Internal.PocoPropertyAccessorStrategy	14	116	1	44	37	0	0	0	1.945910149
System.Data.Entity.Core.Query.PlanCompiler	ScalarOpRules	System.Data.Entity.Core.Query.PlanCompiler.ScalarOpRules	21	194	1	68	29	0	0	0	1.945910149
System.Data.Entity.Migrations.Edm	EdmXNames	System.Data.Entity.Migrations.Edm.EdmXNames	27	84	1	27	6	0	0	0	1.945910149
System.Data.Entity.ModelConfiguration.Configuration	ConventionPrimitivePropertyConfiguration	System.Data.Entity.ModelConfiguration.Configuration.ConventionPrimitivePropertyConfiguration	27	146	1	88	24	0	0	0	1.945910149
System.Data.Entity.Core.Common.Internal.Materialization	Shaper<T>	System.Data.Entity.Core.Common.Internal.Materialization.Shaper<T>	14	64	2	34	36	0	0	0	1.791759469
System.Data.Entity.Core.Mapping.ViewGeneration.Structures	CaseStatement	System.Data.Entity.Core.Mapping.ViewGeneration.Structures.CaseStatement	18	142	2	57	36	0	0	0	1.791759469
