Scope,Project,Namespace,Type,Member,Maintainability Index,Cyclomatic Complexity,Depth of Inheritance,Class Coupling,Lines of Code
Member,Metropolis (Debug),Metropolis.Parsers,VisualStudioCsvLineItem,Member.get() : string,98,1,,0,1
Member,Metropolis (Debug),Metropolis.Parsers,VisualStudioCsvLineItem,Member.set(string) : void,95,1,,0,1
Member,Metropolis (Debug),Metropolis.Parsers,VisualStudioCsvLineItem,Namespace.get() : string,98,1,,0,1
Member,Metropolis (Debug),Metropolis.Parsers,VisualStudioCsvLineItem,Namespace.set(string) : void,95,1,,0,1
Member,Metropolis (Debug),Metropolis.Parsers,VisualStudioCsvLineItem,Project.get() : string,98,1,,0,1
Member,Metropolis (Debug),Metropolis.Parsers,VisualStudioCsvLineItem,Project.set(string) : void,95,1,,0,1
Member,Metropolis (Debug),Metropolis.Parsers,VisualStudioCsvLineItem,Scope.get() : string,98,1,,0,1
Member,Metropolis (Debug),Metropolis.Parsers,VisualStudioCsvLineItem,Scope.set(string) : void,95,1,,0,1
Member,Metropolis (Debug),Metropolis.Parsers,VisualStudioCsvLineItem,Type.get() : string,98,1,,0,1
Member,Metropolis (Debug),Metropolis.Parsers,VisualStudioCsvLineItem,Type.set(string) : void,95,1,,0,1
Member,Metropolis (Debug),Metropolis.Parsers,VisualStudioCsvLineItem,VisualStudioCsvLineItem(),100,1,,0,1
Type,Metropolis (Debug),Metropolis.Parsers,VisualStudioCsvLineItemClassMap, ,56,1,3,9,11
Member,Metropolis (Debug),Metropolis.Parsers,VisualStudioCsvLineItemClassMap,VisualStudioCsvLineItemClassMap(),56,1,,9,11
Type,Metropolis (Debug),Metropolis.Parsers,VisualStudioMetricsParser, ,65,13,2,16,18
Member,Metropolis (Debug),Metropolis.Parsers,VisualStudioMetricsParser,"CollectMethods(IEnumerable<VisualStudioCsvLineItem>, VisualStudioCsvLineItem) : IEnumerable<VisualStudioCsvLineItem>",71,4,,5,4
Member,Metropolis (Debug),Metropolis.Parsers,VisualStudioMetricsParser,ParseLines(IEnumerable<VisualStudioCsvLineItem>) : CodeBase,55,8,,13,13
Member,Metropolis (Debug),Metropolis.Parsers,VisualStudioMetricsParser,VisualStudioMetricsParser(),100,1,,3,1
Namespace,Metropolis (Debug),Metropolis.Persistence, , ,77,3,1,5,9
Type,Metropolis (Debug),Metropolis.Persistence,ProjectRepository, ,77,3,1,5,9
Member,Metropolis (Debug),Metropolis.Persistence,ProjectRepository,Load(string) : CodeBase,73,1,,5,4
Member,Metropolis (Debug),Metropolis.Persistence,ProjectRepository,ProjectRepository(),100,1,,0,1
Member,Metropolis (Debug),Metropolis.Persistence,ProjectRepository,"Save(CodeBase, string) : void",73,1,,5,4
