Namespace,Type,CyclomaticComplexity,DepthOfInheritance,ClassCoupling,LinesOfCode,NumberOfMethods,Toxicity
System.Web.Razor.Tokenizer,VBTokenizer,1,0,0,3,1,5
Microsoft.Web.Mvc.Resources,WebApiEnabledAttribute,0,1,2,2,0,5
System.Web.WebPages,WebPageExecutingBase,0,0,0,2,3,5
System.Web.WebPages.Deployment,WebPagesDeployment,0,0,3,0,2,5
System.Web.WebPages.Administration.PackageManager,WebProjectManager,0,0,3,0,2,5
System.Net.Http.Formatting,XmlMediaTypeFormatter,0,0,2,0,3,5
System.Web.WebPages,ApplicationStartPage,0,0,2,0,2,4
Microsoft.Web.Mvc.ModelBinding,CollectionModelBinderUtil,1,0,0,3,0,4
System.Net.Http.Formatting,DefaultContentNegotiator,0,0,1,3,0,4
System.Web.Mvc,DefaultControllerFactory,0,0,3,0,1,4
System.Web.Http.Routing,DefaultInlineConstraintResolver,0,0,1,3,0,4
Microsoft.Web.Mvc.Controls,DropDownList,1,0,0,3,0,4
Microsoft.Web.Mvc.Html,HtmlHelperExtensions,0,0,0,0,4,4
System.Web.Http.Controllers,HttpActionDescriptor,0,0,2,0,2,4
System.Web.Http,HttpConfiguration,0,0,2,0,2,4
System.Net.Http.Formatting,MediaTypeFormatter,0,0,1,0,3,4
Microsoft.Web.WebPages.OAuth,OAuthWebSecurity,0,0,1,0,3,4
System.Web.Razor.Parser,ParserContext,0,0,1,0,3,4
System.Web.Razor.Tokenizer,"Tokenizer<TSymbol, TSymbolType>",0,0,1,0,3,4
System.Web.WebPages,ValidationHelper,0,0,2,0,2,4
System.Web.Mvc,ViewTemplateUserControl,0,4,0,0,0,4
System.Web.Helpers,WebMail,0,0,1,2,1,4
WebMatrix.WebData,WebSecurity,0,0,1,0,3,4
System.Web.Mvc.Ajax,AjaxExtensions,0,0,0,0,3,3
System.Web.Mvc.Ajax,AjaxOptions,0,0,0,0,3,3
System.Web.Mvc.Async,AsyncControllerActionInvoker.AsyncInvocationWithFilters,0,0,0,3,0,3
System.Web.Razor.Editor,BackgroundParser.BackgroundThread,0,0,0,3,0,3
System.Net.Http,ByteRangeStreamContent,0,0,0,3,0,3
System.Web.Razor.Generator,CodeWriter,0,0,0,0,3,3
Microsoft.Web.Mvc.ModelBinding,CollectionModelBinder<TElement>,0,0,0,3,0,3
Microsoft.Web.Mvc,DynamicViewPage<TModel>,0,3,0,0,0,3
Microsoft.Web.Mvc.Internal,ExpressionHelper,0,0,0,3,0,3
System.Web.Http.ModelBinding,FormDataCollectionExtensions,0,0,2,1,0,3
System.Net.Http.Formatting.Parsers,FormUrlEncodedParser,0,0,0,3,0,3
System.Web.Razor.Generator,GeneratedClassContext,0,0,0,0,3,3
System.Web.WebPages,HelperPage,0,0,0,0,3,3
System.Web.Http.WebHost.Routing,HostedHttpRouteCollection,0,0,2,0,1,3
System.Web.Helpers,HtmlObjectPrinter,0,0,0,0,3,3
System.Net.Http,HttpClientExtensions,0,0,0,0,3,3
System.Net.Http,HttpContentMessageExtensions,0,0,2,0,1,3
System.Web.Http.SelfHost.Channels,HttpMessageEncodingChannelListener,0,3,0,0,0,3
System.Web.Http.Routing,HttpRoute,0,0,1,0,2,3
System.Web.Http,HttpRouteCollection,0,0,1,0,2,3
System.Web.Http.Routing,IDirectRouteBuilder,0,0,0,0,3,3
System.Web.Mvc,MultiSelectList,0,0,0,0,3,3
System.Web.Mvc,MvcHandler,0,0,2,0,1,3
ROOT_PROJECT_NAMESPACE.Areas.HelpPage,ObjectGenerator.SimpleTypeObjectGenerator,3,0,0,0,0,3
System.Web.Razor,RazorEngineHost,0,0,0,0,3,3
System.Web.Http.Controllers,ReflectedHttpActionDescriptor,0,0,2,0,1,3
System.Web.Http.Controllers,ReflectedHttpActionDescriptor.ActionExecutor,0,0,0,3,0,3
System.Web.Razor.Generator,ResolveUrlCodeGenerator,0,0,0,3,0,3
System.Web.Http.Routing,RouteFactoryAttribute,0,0,0,3,0,3
WebMatrix.WebData,SimpleRoleProvider,0,0,0,0,3,3
System.Threading.Tasks,TaskHelpers,0,0,0,0,3,3
System.Web.Mvc.Html,TemplateHelpers,0,0,3,0,0,3
Microsoft.Web.Helpers,Video,0,0,1,2,0,3
System.Web.Mvc,ViewContext,0,0,0,0,3,3
System.Web.Mvc,ViewDataDictionary,0,0,0,0,3,3
System.Web.Mvc,ViewMasterPage<TModel>,0,3,0,0,0,3
System.Web.Mvc,ViewMasterPageControlBuilder,0,3,0,0,0,3
System.Web.Mvc,ViewPage,0,1,0,0,2,3
System.Web.Mvc,ViewPage.SwitchWriter,0,0,0,0,3,3
System.Web.Mvc,ViewTemplateUserControl<TModel>,0,3,0,0,0,3
System.Net.Http.Formatting,BsonMediaTypeFormatter,0,0,2,0,0,2
System.Web.Http.SelfHost.ServiceModel.Channels,BufferedOutputStream,0,0,0,0,2,2
System.Web.Mvc.Html,ChildActionExtensions,0,0,2,0,0,2
System.Web.Mvc.Html,DefaultDisplayTemplates,0,0,2,0,0,2
System.Web.Http.Batch,DefaultHttpBatchHandler,0,0,2,0,0,2
System.Web.Http.Dispatcher,DefaultHttpControllerSelector,0,0,2,0,0,2
System.Net.Http.Internal,DelegatingStream,0,0,0,0,2,2
System.Web.Mvc.Routing,DirectRouteCandidate,0,0,1,0,1,2
Microsoft.Web.Mvc,DynamicViewPage,0,2,0,0,0,2
System.Web.Http.ExceptionHandling,ExceptionContext,0,0,0,0,2,2
WebMatrix.WebData,ExtendedMembershipProvider,0,0,0,0,2,2
Microsoft.AspNet.Facebook.ModelBinders,FacebookContextModelBinder,0,0,0,2,0,2
System.Web.Http.Tracing.Tracers,FilterTracer,0,0,0,2,0,2
Microsoft.Web.Mvc.ExpressionUtil,HashCodeCombiner,0,0,0,0,2,2
System.Web.Http.Tracing.Tracers,HttpActionDescriptorTracer,0,0,2,0,0,2
System.Web.Mvc,HttpAntiForgeryException,0,2,0,0,0,2
System.Web.Mvc,HttpHandlerUtil.ServerExecuteHttpHandlerAsyncWrapper,0,2,0,0,0,2
System.Net.Http,HttpMessageContent,0,0,2,0,0,2
System.Web.Http.SelfHost,HttpSelfHostConfiguration,0,0,0,0,2,2
System.Web.Razor.Editor,ImplicitExpressionEditHandler,0,0,0,0,2,2
System.Web.Http.Routing,InlineRouteTemplateParser,0,0,0,2,0,2
System.Net.Http.Formatting,JsonMediaTypeFormatter,0,0,2,0,0,2
System.Web.Http.SelfHost.ServiceModel.Channels,LayeredChannelListener<TChannel>,0,2,0,0,0,2
System.Web.Razor.Generator,LiteralAttributeCodeGenerator,0,0,0,2,0,2
Microsoft.Web.Mvc.ModelBinding,ModelBinderConfig,0,0,0,0,2,2
Microsoft.Web.Mvc.ModelBinding,ModelBinderProviderCollection,0,0,0,0,2,2
System.Web.Mvc,NoAsyncTimeoutAttribute,0,2,0,0,0,2
ROOT_PROJECT_NAMESPACE.Areas.HelpPage,ObjectGenerator,0,0,2,0,0,2
System.Web.WebPages,PageDataDictionary<TValue>,0,0,0,0,2,2
System.Web.Razor.Parser,RazorParser,0,0,2,0,0,2
System.Web.WebPages.Scope,ScopeStorageDictionary,0,0,0,0,2,2
System.Web.Helpers,ServerInfo,0,0,2,0,0,2
System.Web.Http,ServicesExtensions,0,0,0,0,2,2
