Method,LOC,NP,v(G)
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceAdd.createDataSourceService(String,String)",n/a,2,n/a
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceAdd.firstRuntimeStep(OperationContext,ModelNode,ModelNode)",56,3,3
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceAdd.isXa()",n/a,0,n/a
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceAdd.join(AttributeDefinition[],AttributeDefinition[])",6,2,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceAdd.performRuntime(OperationContext,ModelNode,ModelNode)",4,3,2
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceAdd.populateModel(OperationContext,ModelNode,Resource)",5,3,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceAdd.secondRuntimeStep(OperationContext,ModelNode,ManagementResourceRegistration,ModelNode,boolean)",16,5,23
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceAdd.startConfigAndAddDependency(ServiceBuilder<?>,AbstractDataSourceService,String,ServiceTarget,ModelNode)",n/a,5,n/a
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.AS7DataSourceDeployer.AS7DataSourceDeployer(DataSource)",5,1,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.AS7DataSourceDeployer.AS7DataSourceDeployer(XaDataSource)",5,1,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.AS7DataSourceDeployer.bindConnectionFactory(String,String,Object)",9,3,2
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.AS7DataSourceDeployer.buildJndiName(String,Boolean)",17,2,4
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.AS7DataSourceDeployer.createMcf(DataSource,String,ClassLoader)",31,3,8
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.AS7DataSourceDeployer.createMcf(XaDataSource,String,ClassLoader)",30,3,9
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.AS7DataSourceDeployer.createRa(String,ClassLoader)",7,2,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.AS7DataSourceDeployer.deploy(ServiceContainer)",44,1,10
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.AS7DataSourceDeployer.getCachedConnectionManager()",4,0,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.AS7DataSourceDeployer.getDeploymentClassLoader(String)",4,1,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.AS7DataSourceDeployer.getLogger()",4,0,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.AS7DataSourceDeployer.getManagementRepository()",4,0,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.AS7DataSourceDeployer.getSubjectFactory(String)",8,1,4
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.AS7DataSourceDeployer.getTransactionIntegration()",17,0,3
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.AS7DataSourceDeployer.initAndInject(String,List<? extends ConfigProperty>,ClassLoader)",28,3,6
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.AS7DataSourceDeployer.initAndInjectClassLoaderPlugin(ManagedConnectionFactory,CommonDataSource)",4,2,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.AS7DataSourceDeployer.registerResourceAdapterToResourceAdapterRepository(ResourceAdapter)",4,1,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.AS7DataSourceDeployer.setMcfProperties(BaseWrapperManagedConnectionFactory,CommonDataSource,Statement)",77,3,24
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.AbstractDataSourceService(String,BindInfo,ClassLoader)",5,3,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.WildFlyXaMCF.setXaProps(Map<String, String>)",3,1,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.buildConfigPropsString(Map<String, String>)",10,1,2
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.driverClassLoader()",7,0,3
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.getCcmInjector()",3,0,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.getDeployer()",n/a,0,n/a
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.getDeploymentMD()",3,0,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.getDriverInjector()",3,0,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.getDriverRegistryInjector()",3,0,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.getExecutorServiceInjector()",3,0,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.getManagementRepositoryInjector()",3,0,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.getMdrInjector()",3,0,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.getRaRepositoryInjector()",3,0,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.getServiceName(BindInfo)",3,1,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.getSubjectFactoryInjector()",3,0,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.getTransactionIntegration()",12,0,2
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.getTransactionIntegrationInjector()",3,0,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.getValue()",3,0,1
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.start(StartContext)",20,1,3
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.stop(StopContext)",8,1,3
"org.jboss.as.connector.subsystems.datasources.AbstractDataSourceService.stopService()",32,0,12
"org.jboss.as.connector.subsystems.datasources.AbstractXMLDataSourceRuntimeHandler.executeReadAttribute(String,OperationContext,T,PathAddress)",n/a,4,n/a
"org.jboss.as.connector.subsystems.datasources.AbstractXMLDataSourceRuntimeHandler.executeRuntimeStep(OperationContext,ModelNode)",13,2,2
"org.jboss.as.connector.subsystems.datasources.AbstractXMLDataSourceRuntimeHandler.getDataSourceConfig(PathAddress)",23,1,6
"org.jboss.as.connector.subsystems.datasources.AbstractXMLDataSourceRuntimeHandler.registerDataSource(PathAddress,T)",3,2,1
"org.jboss.as.connector.subsystems.datasources.AbstractXMLDataSourceRuntimeHandler.setBooleanIfNotNull(OperationContext,Boolean)",5,2,2
"org.jboss.as.connector.subsystems.datasources.AbstractXMLDataSourceRuntimeHandler.setIntIfNotNull(OperationContext,Integer)",5,2,2
"org.jboss.as.connector.subsystems.datasources.AbstractXMLDataSourceRuntimeHandler.setLongIfNotNull(OperationContext,Long)",5,2,2
"org.jboss.as.connector.subsystems.datasources.AbstractXMLDataSourceRuntimeHandler.setStringIfNotNull(OperationContext,String)",5,2,2
"org.jboss.as.connector.subsystems.datasources.AbstractXMLDataSourceRuntimeHandler.unknownOperation(String)",3,1,1
"org.jboss.as.connector.subsystems.datasources.AbstractXMLDataSourceRuntimeHandler.unregisterDataSource(PathAddress)",3,1,1
"org.jboss.as.connector.subsystems.datasources.Attribute.Attribute(String)",3,1,1
"org.jboss.as.connector.subsystems.datasources.Attribute.forName(String)",4,1,2
"org.jboss.as.connector.subsystems.datasources.Attribute.getLocalName()",8,0,1
"org.jboss.as.connector.subsystems.datasources.Attribute.toString()",4,0,1
"org.jboss.as.connector.subsystems.datasources.CommonDeploymentService.CommonDeploymentService(CommonDeployment)",5,1,1
"org.jboss.as.connector.subsystems.datasources.CommonDeploymentService.getServiceName(BindInfo)",3,1,1
"org.jboss.as.connector.subsystems.datasources.CommonDeploymentService.getValue()",4,0,1
"org.jboss.as.connector.subsystems.datasources.CommonDeploymentService.start(StartContext)",4,1,1
"org.jboss.as.connector.subsystems.datasources.CommonDeploymentService.stop(StopContext)",4,1,1
"org.jboss.as.connector.subsystems.datasources.ConnectionPropertiesService.ConnectionPropertiesService(String,String)",7,2,1
"org.jboss.as.connector.subsystems.datasources.ConnectionPropertiesService.getName()",3,0,1
"org.jboss.as.connector.subsystems.datasources.ConnectionPropertiesService.getValue()",4,0,1
"org.jboss.as.connector.subsystems.datasources.ConnectionPropertiesService.start(StartContext)",3,1,1
"org.jboss.as.connector.subsystems.datasources.ConnectionPropertiesService.stop(StopContext)",3,1,1
"org.jboss.as.connector.subsystems.datasources.ConnectionPropertyAdd.performRuntime(OperationContext,ModelNode,ModelNode)",22,3,3
"org.jboss.as.connector.subsystems.datasources.ConnectionPropertyAdd.populateModel(ModelNode,ModelNode)",4,2,1
"org.jboss.as.connector.subsystems.datasources.ConnectionPropertyDefinition.ConnectionPropertyDefinition(boolean)",7,1,3
"org.jboss.as.connector.subsystems.datasources.ConnectionPropertyDefinition.registerAttributes(ManagementResourceRegistration)",9,1,2
"org.jboss.as.connector.subsystems.datasources.ConnectionPropertyDefinition.registerTransformers11x(ResourceTransformationDescriptionBuilder)",6,1,1
"org.jboss.as.connector.subsystems.datasources.DataSourceAdd.DataSourceAdd()",3,0,1
"org.jboss.as.connector.subsystems.datasources.DataSourceAdd.createDataSourceService(String,String)",3,2,1
"org.jboss.as.connector.subsystems.datasources.DataSourceAdd.isXa()",4,0,1
"org.jboss.as.connector.subsystems.datasources.DataSourceAdd.startConfigAndAddDependency(ServiceBuilder<?>,AbstractDataSourceService,String,ServiceTarget,ModelNode)",8,5,1
"org.jboss.as.connector.subsystems.datasources.DataSourceConfigService.DataSourceConfigService(ModifiableDataSource)",4,1,1
"org.jboss.as.connector.subsystems.datasources.DataSourceConfigService.getConnectionPropertyInjector(String)",3,1,1
"org.jboss.as.connector.subsystems.datasources.DataSourceConfigService.getValue()",4,0,1
"org.jboss.as.connector.subsystems.datasources.DataSourceConfigService.start(StartContext)",5,1,2
"org.jboss.as.connector.subsystems.datasources.DataSourceConfigService.stop(StopContext)",2,1,1
"org.jboss.as.connector.subsystems.datasources.DataSourceDefinition.DataSourceDefinition(boolean,boolean)",10,2,3
"org.jboss.as.connector.subsystems.datasources.DataSourceDefinition.createInstance(boolean,boolean)",3,2,1
"org.jboss.as.connector.subsystems.datasources.DataSourceDefinition.getAccessConstraints()",4,0,1
"org.jboss.as.connector.subsystems.datasources.DataSourceDefinition.registerAttributes(ManagementResourceRegistration)",30,1,8
"org.jboss.as.connector.subsystems.datasources.DataSourceDefinition.registerCapabilities(ManagementResourceRegistration)",5,1,2
"org.jboss.as.connector.subsystems.datasources.DataSourceDefinition.registerChildren(ManagementResourceRegistration)",8,1,2
"org.jboss.as.connector.subsystems.datasources.DataSourceDefinition.registerOperations(ManagementResourceRegistration)",16,1,3
"org.jboss.as.connector.subsystems.datasources.DataSourceDefinition.registerTransformers120(ResourceTransformationDescriptionBuilder)",4,1,2
"org.jboss.as.connector.subsystems.datasources.DataSourceDefinition.registerTransformers130(ResourceTransformationDescriptionBuilder)",4,1,1
"org.jboss.as.connector.subsystems.datasources.DataSourceDefinition.registerTransformers200(ResourceTransformationDescriptionBuilder)",4,1,2
"org.jboss.as.connector.subsystems.datasources.DataSourceDefinition.registerTransformers300(ResourceTransformationDescriptionBuilder)",12,1,1
"org.jboss.as.connector.subsystems.datasources.DataSourceEnableDisable.DataSourceEnableDisable(boolean)",3,1,1
"org.jboss.as.connector.subsystems.datasources.DataSourceEnableDisable.execute(OperationContext,ModelNode)",10,2,1
"org.jboss.as.connector.subsystems.datasources.DataSourceModelNodeUtil.from(OperationContext,ModelNode,String)",79,3,3
"org.jboss.as.connector.subsystems.datasources.DataSourceModelNodeUtil.xaFrom(OperationContext,ModelNode,String)",100,3,12
"org.jboss.as.connector.subsystems.datasources.DataSourceReferenceFactoryService.getDataSourceInjector()",3,0,1
"org.jboss.as.connector.subsystems.datasources.DataSourceReferenceFactoryService.getInstanceClassName()",5,0,3
"org.jboss.as.connector.subsystems.datasources.DataSourceReferenceFactoryService.getJndiViewInstanceValue()",5,0,2
"org.jboss.as.connector.subsystems.datasources.DataSourceReferenceFactoryService.getReference()",3,0,1
"org.jboss.as.connector.subsystems.datasources.DataSourceReferenceFactoryService.getValue()",3,0,1
"org.jboss.as.connector.subsystems.datasources.DataSourceReferenceFactoryService.start(StartContext)",3,1,1
"org.jboss.as.connector.subsystems.datasources.DataSourceReferenceFactoryService.stop(StopContext)",3,1,1
"org.jboss.as.connector.subsystems.datasources.DataSourcesExtension.DataSourceSubsystemParser.has(ModelNode,String)",3,2,2
"org.jboss.as.connector.subsystems.datasources.DataSourcesExtension.DataSourceSubsystemParser.hasAnyOf(ModelNode,SimpleAttributeDefinition...)",8,2,3
"org.jboss.as.connector.subsystems.datasources.DataSourcesExtension.DataSourceSubsystemParser.readElement(XMLExtendedStreamReader,List<ModelNode>)",26,2,3
"org.jboss.as.connector.subsystems.datasources.DataSourcesExtension.DataSourceSubsystemParser.writeAttributeIfHas(XMLExtendedStreamWriter,ModelNode,Attribute,String)",6,4,2
"org.jboss.as.connector.subsystems.datasources.DataSourcesExtension.DataSourceSubsystemParser.writeContent(XMLExtendedStreamWriter,SubsystemMarshallingContext)",42,2,9
"org.jboss.as.connector.subsystems.datasources.DataSourcesExtension.DataSourceSubsystemParser.writeDS(XMLExtendedStreamWriter,boolean,ModelNode)",281,3,87
"org.jboss.as.connector.subsystems.datasources.DataSourcesExtension.DataSourceSubsystemParser.writeElementIfHas(XMLExtendedStreamWriter,ModelNode,String,String)",15,4,3
"org.jboss.as.connector.subsystems.datasources.DataSourcesExtension.DataSourceSubsystemParser.writeProperty(XMLExtendedStreamWriter,ModelNode,String,String,String)",7,5,1
"org.jboss.as.connector.subsystems.datasources.DataSourcesExtension.getResourceDescriptionResolver(String...)",7,1,2
"org.jboss.as.connector.subsystems.datasources.DataSourcesExtension.initialize(ExtensionContext)",15,1,3
"org.jboss.as.connector.subsystems.datasources.DataSourcesExtension.initializeParsers(ExtensionParsingContext)",8,1,1
"org.jboss.as.connector.subsystems.datasources.DataSourcesSubsystemAdd.performBoottime(OperationContext,ModelNode,ModelNode)",5,3,1
"org.jboss.as.connector.subsystems.datasources.DataSourcesSubsystemAdd.populateModel(ModelNode,ModelNode)",3,2,1
"org.jboss.as.connector.subsystems.datasources.DataSourcesSubsystemProviders.getResourceBundle(Locale)",6,1,2
"org.jboss.as.connector.subsystems.datasources.DataSourcesSubsystemRootDefinition.DataSourcesSubsystemRootDefinition(boolean,boolean)",8,2,3
"org.jboss.as.connector.subsystems.datasources.DataSourcesSubsystemRootDefinition.createDeployedInstance(boolean)",3,1,1
"org.jboss.as.connector.subsystems.datasources.DataSourcesSubsystemRootDefinition.createInstance(boolean)",3,1,1
"org.jboss.as.connector.subsystems.datasources.DataSourcesSubsystemRootDefinition.get120TransformationDescription()",8,0,1
"org.jboss.as.connector.subsystems.datasources.DataSourcesSubsystemRootDefinition.get130TransformationDescription()",8,0,1
"org.jboss.as.connector.subsystems.datasources.DataSourcesSubsystemRootDefinition.get200TransformationDescription()",8,0,1
"org.jboss.as.connector.subsystems.datasources.DataSourcesSubsystemRootDefinition.get300TransformationDescription()",8,0,1
"org.jboss.as.connector.subsystems.datasources.DataSourcesSubsystemRootDefinition.registerAttributes(ManagementResourceRegistration)",5,1,3
"org.jboss.as.connector.subsystems.datasources.DataSourcesSubsystemRootDefinition.registerChildren(ManagementResourceRegistration)",7,1,2
"org.jboss.as.connector.subsystems.datasources.DataSourcesSubsystemRootDefinition.registerOperations(ManagementResourceRegistration)",9,1,3
"org.jboss.as.connector.subsystems.datasources.DataSourcesSubsystemRootDefinition.registerTransformers(SubsystemRegistration)",6,1,1
"org.jboss.as.connector.subsystems.datasources.DisableRequiredWriteAttributeHandler.DisableRequiredWriteAttributeHandler(AttributeDefinition...)",3,1,1
"org.jboss.as.connector.subsystems.datasources.DisableRequiredWriteAttributeHandler.applyUpdateToRuntime(OperationContext,ModelNode,String,ModelNode,ModelNode,HandbackHolder<Void>)",11,6,4
"org.jboss.as.connector.subsystems.datasources.DisableRequiredWriteAttributeHandler.revertUpdateToRuntime(OperationContext,ModelNode,String,ModelNode,ModelNode,Void)",4,6,1
"org.jboss.as.connector.subsystems.datasources.DsParser.Tag.Tag(String)",8,1,1
"org.jboss.as.connector.subsystems.datasources.DsParser.Tag.forName(String)",10,1,2
"org.jboss.as.connector.subsystems.datasources.DsParser.Tag.getLocalName()",8,0,1
"org.jboss.as.connector.subsystems.datasources.DsParser.parse(XMLExtendedStreamReader,List<ModelNode>,ModelNode)",29,3,7
"org.jboss.as.connector.subsystems.datasources.DsParser.parseCapacity(XMLExtendedStreamReader,ModelNode)",33,2,9
"org.jboss.as.connector.subsystems.datasources.DsParser.parseCredential(XMLExtendedStreamReader,ModelNode)",41,2,11
"org.jboss.as.connector.subsystems.datasources.DsParser.parseDataSource_1_0(XMLExtendedStreamReader,List<ModelNode>,ModelNode)",164,3,36
"org.jboss.as.connector.subsystems.datasources.DsParser.parseDataSource_1_2(XMLExtendedStreamReader,List<ModelNode>,ModelNode)",191,3,41
"org.jboss.as.connector.subsystems.datasources.DsParser.parseDataSource_3_0(XMLExtendedStreamReader,List<ModelNode>,ModelNode)",186,3,42
"org.jboss.as.connector.subsystems.datasources.DsParser.parseDataSource_4_0(XMLExtendedStreamReader,List<ModelNode>,ModelNode)",200,3,46
"org.jboss.as.connector.subsystems.datasources.DsParser.parseDataSources(XMLExtendedStreamReader,List<ModelNode>,ModelNode)",63,3,18
"org.jboss.as.connector.subsystems.datasources.DsParser.parseDriver(XMLExtendedStreamReader,List<ModelNode>,ModelNode)",98,3,21
"org.jboss.as.connector.subsystems.datasources.DsParser.parseDsSecurity(XMLExtendedStreamReader,ModelNode)",51,2,12
"org.jboss.as.connector.subsystems.datasources.DsParser.parsePool(XMLExtendedStreamReader,ModelNode)",78,2,18
"org.jboss.as.connector.subsystems.datasources.DsParser.parseRecovery(XMLExtendedStreamReader,ModelNode)",45,2,12
"org.jboss.as.connector.subsystems.datasources.DsParser.parseStatementSettings(XMLExtendedStreamReader,ModelNode)",42,2,11
"org.jboss.as.connector.subsystems.datasources.DsParser.parseTimeOutSettings(XMLExtendedStreamReader,ModelNode)",67,2,16
"org.jboss.as.connector.subsystems.datasources.DsParser.parseValidationSetting(XMLExtendedStreamReader,ModelNode)",64,2,15
"org.jboss.as.connector.subsystems.datasources.DsParser.parseXADataSource_1_0(XMLExtendedStreamReader,List<ModelNode>,ModelNode)",156,3,34
"org.jboss.as.connector.subsystems.datasources.DsParser.parseXADataSource_1_2(XMLExtendedStreamReader,List<ModelNode>,ModelNode)",171,3,36
"org.jboss.as.connector.subsystems.datasources.DsParser.parseXADataSource_3_0(XMLExtendedStreamReader,List<ModelNode>,ModelNode)",178,3,40
"org.jboss.as.connector.subsystems.datasources.DsParser.parseXADataSource_4_0(XMLExtendedStreamReader,List<ModelNode>,ModelNode)",192,3,44
"org.jboss.as.connector.subsystems.datasources.DsParser.parseXaPool(XMLExtendedStreamReader,ModelNode)",103,2,24
"org.jboss.as.connector.subsystems.datasources.Element.Element(String)",3,1,1
"org.jboss.as.connector.subsystems.datasources.Element.forName(String)",4,1,2
"org.jboss.as.connector.subsystems.datasources.Element.getLocalName()",7,0,1
"org.jboss.as.connector.subsystems.datasources.GetInstalledDriverOperationHandler.GetInstalledDriverOperationHandler()",3,0,1
"org.jboss.as.connector.subsystems.datasources.GetInstalledDriverOperationHandler.execute(OperationContext,ModelNode)",27,2,4
"org.jboss.as.connector.subsystems.datasources.InstalledDriversListOperationHandler.InstalledDriversListOperationHandler()",2,0,1
"org.jboss.as.connector.subsystems.datasources.InstalledDriversListOperationHandler.execute(OperationContext,ModelNode)",37,2,9
"org.jboss.as.connector.subsystems.datasources.JdbcDriverAdd.performRuntime(OperationContext,ModelNode,ModelNode)",49,3,15
"org.jboss.as.connector.subsystems.datasources.JdbcDriverAdd.populateModel(ModelNode,ModelNode)",8,2,2
"org.jboss.as.connector.subsystems.datasources.JdbcDriverAdd.startDriverServices(ServiceTarget,ModuleIdentifier,Driver,String,Integer,Integer,String,String)",23,8,6
"org.jboss.as.connector.subsystems.datasources.JdbcDriverDefinition.JdbcDriverDefinition()",8,0,1
"org.jboss.as.connector.subsystems.datasources.JdbcDriverDefinition.getAccessConstraints()",4,0,1
"org.jboss.as.connector.subsystems.datasources.JdbcDriverDefinition.registerAttributes(ManagementResourceRegistration)",6,1,2
"org.jboss.as.connector.subsystems.datasources.JdbcDriverDefinition.registerTransformers110(ResourceTransformationDescriptionBuilder)",6,1,1
"org.jboss.as.connector.subsystems.datasources.JdbcDriverDefinition.registerTransformers111(ResourceTransformationDescriptionBuilder)",5,1,1
"org.jboss.as.connector.subsystems.datasources.JdbcDriverDefinition.registerTransformers300(ResourceTransformationDescriptionBuilder)",6,1,1
"org.jboss.as.connector.subsystems.datasources.JdbcDriverRemove.performRuntime(OperationContext,ModelNode,ModelNode)",7,3,1
"org.jboss.as.connector.subsystems.datasources.JdbcDriverRemove.recoverServices(OperationContext,ModelNode,ModelNode)",37,3,11
"org.jboss.as.connector.subsystems.datasources.LocalDataSourceService.LocalDataSourceService(String,BindInfo)",3,2,1
"org.jboss.as.connector.subsystems.datasources.LocalDataSourceService.LocalDataSourceService(String,BindInfo,ClassLoader)",3,3,1
"org.jboss.as.connector.subsystems.datasources.LocalDataSourceService.getDataSourceConfigInjector()",3,0,1
"org.jboss.as.connector.subsystems.datasources.LocalDataSourceService.getDeployer()",4,0,1
"org.jboss.as.connector.subsystems.datasources.ModifiableDataSource.ModifiableDataSource(String,String,String,String,TransactionIsolation,Map<String, String>,TimeOut,DsSecurity,Statement,Validation,String,String,String,Boolean,String,Boolean,String,Boolean,Boolean,Boolean,Boolean,Boolean,String,Boolean,DsPool)",53,25,2
"org.jboss.as.connector.subsystems.datasources.ModifiableDataSource.addConnectionProperty(String,String)",3,2,1
"org.jboss.as.connector.subsystems.datasources.ModifiableDataSource.equals(Object)",46,1,25
"org.jboss.as.connector.subsystems.datasources.ModifiableDataSource.forceDataSourceClass(String)",8,1,1
"org.jboss.as.connector.subsystems.datasources.ModifiableDataSource.forceDriverClass(String)",8,1,1
"org.jboss.as.connector.subsystems.datasources.ModifiableDataSource.getConnectionProperties()",9,0,1
"org.jboss.as.connector.subsystems.datasources.ModifiableDataSource.getConnectionUrl()",9,0,1
"org.jboss.as.connector.subsystems.datasources.ModifiableDataSource.getDataSourceClass()",9,0,1
"org.jboss.as.connector.subsystems.datasources.ModifiableDataSource.getDriver()",9,0,1
"org.jboss.as.connector.subsystems.datasources.ModifiableDataSource.getDriverClass()",9,0,1
"org.jboss.as.connector.subsystems.datasources.ModifiableDataSource.getNewConnectionSql()",9,0,1
"org.jboss.as.connector.subsystems.datasources.ModifiableDataSource.getPool()",9,0,1
"org.jboss.as.connector.subsystems.datasources.ModifiableDataSource.getStatement()",9,0,1
"org.jboss.as.connector.subsystems.datasources.ModifiableDataSource.getUnModifiableInstance()",8,0,1
"org.jboss.as.connector.subsystems.datasources.ModifiableDataSource.getUrlDelimiter()",9,0,1
"org.jboss.as.connector.subsystems.datasources.ModifiableDataSource.getUrlSelectorStrategyClassName()",9,0,1
"org.jboss.as.connector.subsystems.datasources.ModifiableDataSource.hashCode()",13,0,8
"org.jboss.as.connector.subsystems.datasources.ModifiableDataSource.isConnectable()",4,0,1
"org.jboss.as.connector.subsystems.datasources.ModifiableDataSource.isJTA()",6,0,1
"org.jboss.as.connector.subsystems.datasources.ModifiableDataSource.isTracking()",4,0,1
"org.jboss.as.connector.subsystems.datasources.ModifiableDataSource.toString()",84,0,24
"org.jboss.as.connector.subsystems.datasources.ModifiableDataSource.validate()",11,0,10
"org.jboss.as.connector.subsystems.datasources.ModifiableXaDataSource.ModifiableXaDataSource(TransactionIsolation,TimeOut,DsSecurity,Statement,Validation,String,String,String,Boolean,String,Boolean,String,Boolean,Boolean,Boolean,Boolean,String,Boolean,Map<String, String>,String,String,String,DsXaPool,Recovery)",38,24,1
"org.jboss.as.connector.subsystems.datasources.ModifiableXaDataSource.addXaDataSourceProperty(String,String)",3,2,1
"org.jboss.as.connector.subsystems.datasources.ModifiableXaDataSource.getUnModifiableInstance()",7,0,1
"org.jboss.as.connector.subsystems.datasources.ModifiableXaDataSource.validate()",7,0,5
"org.jboss.as.connector.subsystems.datasources.Namespace.Namespace(String)",3,1,1
"org.jboss.as.connector.subsystems.datasources.Namespace.forUri(String)",4,1,2
"org.jboss.as.connector.subsystems.datasources.Namespace.getUriString()",7,0,1
"org.jboss.as.connector.subsystems.datasources.Util.Util()",3,0,1
"org.jboss.as.connector.subsystems.datasources.Util.cleanJndiName(String,boolean)",15,2,4
"org.jboss.as.connector.subsystems.datasources.Util.getJndiName(OperationContext,ModelNode)",12,2,2
"org.jboss.as.connector.subsystems.datasources.WildFlyDataSource.WildFlyDataSource(DataSource,String)",9,2,1
"org.jboss.as.connector.subsystems.datasources.WildFlyDataSource.getConnection()",6,0,1
"org.jboss.as.connector.subsystems.datasources.WildFlyDataSource.getConnection(String,String)",6,2,1
"org.jboss.as.connector.subsystems.datasources.WildFlyDataSource.getLogWriter()",6,0,1
"org.jboss.as.connector.subsystems.datasources.WildFlyDataSource.getLoginTimeout()",6,0,1
"org.jboss.as.connector.subsystems.datasources.WildFlyDataSource.getParentLogger()",6,0,1
"org.jboss.as.connector.subsystems.datasources.WildFlyDataSource.isWrapperFor(Class<?>)",6,1,1
"org.jboss.as.connector.subsystems.datasources.WildFlyDataSource.readObject(ObjectInputStream)",11,1,2
"org.jboss.as.connector.subsystems.datasources.WildFlyDataSource.setLogWriter(PrintWriter)",6,1,1
"org.jboss.as.connector.subsystems.datasources.WildFlyDataSource.setLoginTimeout(int)",6,1,1
"org.jboss.as.connector.subsystems.datasources.WildFlyDataSource.unwrap(Class<T>)",6,1,1
"org.jboss.as.connector.subsystems.datasources.WildFlyDataSource.writeObject(ObjectOutputStream)",4,1,1
"org.jboss.as.connector.subsystems.datasources.XADataSourceConfigService.XADataSourceConfigService(ModifiableXaDataSource)",4,1,1
"org.jboss.as.connector.subsystems.datasources.XADataSourceConfigService.getValue()",4,0,1
"org.jboss.as.connector.subsystems.datasources.XADataSourceConfigService.getXaDataSourcePropertyInjector(String)",3,1,1
"org.jboss.as.connector.subsystems.datasources.XADataSourceConfigService.start(StartContext)",5,1,2
"org.jboss.as.connector.subsystems.datasources.XADataSourceConfigService.stop(StopContext)",2,1,1
"org.jboss.as.connector.subsystems.datasources.XMLDataSourceRuntimeHandler.executeReadAttribute(String,OperationContext,DataSource,PathAddress)",9,4,3
"org.jboss.as.connector.subsystems.datasources.XMLDataSourceRuntimeHandler.handleDatasourceAttribute(String,OperationContext,DataSource)",328,3,136
"org.jboss.as.connector.subsystems.datasources.XMLDataSourceRuntimeHandler.handlePropertyAttribute(String,OperationContext,DataSource,String)",7,4,2
"org.jboss.as.connector.subsystems.datasources.XMLXaDataSourceRuntimeHandler.executeReadAttribute(String,OperationContext,XaDataSource,PathAddress)",9,4,3
"org.jboss.as.connector.subsystems.datasources.XMLXaDataSourceRuntimeHandler.handleDatasourceAttribute(String,OperationContext,XaDataSource)",435,3,177
"org.jboss.as.connector.subsystems.datasources.XMLXaDataSourceRuntimeHandler.handlePropertyAttribute(String,OperationContext,XaDataSource,String)",7,4,2
"org.jboss.as.connector.subsystems.datasources.XaDataSourceAdd.XaDataSourceAdd()",3,0,1
"org.jboss.as.connector.subsystems.datasources.XaDataSourceAdd.createDataSourceService(String,String)",3,2,1
"org.jboss.as.connector.subsystems.datasources.XaDataSourceAdd.isXa()",4,0,1
"org.jboss.as.connector.subsystems.datasources.XaDataSourceAdd.startConfigAndAddDependency(ServiceBuilder<?>,AbstractDataSourceService,String,ServiceTarget,ModelNode)",6,5,1
